Rank,Team,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM,Games_Won,Year
12,Michigan 2,28-9,23.44,123.9,100.5,61,0.047,11.65,110.3,98.6,0.62,3,2014
13,Kentucky 8,29-11,22.55,118.3,95.8,64,-0.025,10.73,110.5,99.8,4.19,5,2014
14,UCLA 4,28-9,22.53,118.7,96.1,68.4,-0.019,7.63,109.1,101.5,-3.26,2,2014
15,Connecticut 7,32-8,22.13,113.6,91.5,63.2,0.08,9.43,109.7,100.3,0.91,6,2014
16,Pittsburgh 9,26-10,21.89,116.9,95,62.2,-0.038,7.62,108,100.4,-3.66,1,2014
17,Creighton 3,27-8,21.72,124.2,102.5,63.6,0.024,7.5,108.5,101,1.31,1,2014
18,Syracuse 3,28-6,21.62,114.6,93,59.6,0.016,7.23,109.4,102.2,-1.01,1,2014
19,Ohio St. 6,25-10,21.3,109.3,88,64,-0.043,7.8,109.2,101.4,-3.36,0,2014
20,Iowa St. 3,28-8,21.07,118.9,97.8,70.2,0.064,10.77,111.1,100.4,1.44,2,2014
21,Oklahoma St. 9,21-13,20.98,115.9,95,67.2,-0.11,9.06,109.9,100.8,-1.15,0,2014
23,San Diego St. 4,31-5,20.38,110.4,90,62.3,0.067,5.18,108,102.8,2.71,2,2014
24,Gonzaga 8,29-7,20.14,114,93.8,65,0.016,5.05,109,103.9,2.2,1,2014
25,VCU 5,26-9,19.8,109.2,89.4,68.9,-0.058,5.45,107.4,102,1.33,0,2014
26,Baylor 6,26-12,19.39,118.9,99.5,61.3,0.012,10.31,111,100.6,-0.36,2,2014
27,Cincinnati 5,27-7,19.24,109.7,90.4,61.1,0.036,4.72,107.3,102.6,-4.57,0,2014
28,Oregon 7,24-10,19.02,118.9,99.9,67.5,-0.037,7.39,109.1,101.8,-1.18,1,2014
29,North Carolina 6,24-10,18.44,112.6,94.2,69.2,0,8.83,110.5,101.6,1.31,1,2014
30,Oklahoma 5,23-10,17.9,117.9,100,69.6,-0.022,9.13,110.2,101,0.5,0,2014
32,Harvard 12,27-5,17.58,112.9,95.3,64.1,0.02,0.13,104.5,104.3,0.98,1,2014
33,New Mexico 7,27-7,17.15,113.5,96.3,64.4,0.032,4.83,107.7,102.9,3.24,0,2014
34,Stanford 10,23-13,16.06,112.4,96.4,65.3,0.016,9.42,110.2,100.7,2.34,2,2014
35,Saint Louis 5,27-7,15.72,105.7,90,65.6,0.04,5.04,107.2,102.2,-1.5,1,2014
36,Memphis 8,24-10,15.22,112.4,97.1,67.5,0.048,7.25,108.3,101.1,0.02,1,2014
39,Arizona St. 10,21-12,14.82,111.2,96.4,67.4,0.003,7.5,108.6,101.1,-2.6,0,2014
41,Texas 7,24-11,14.52,111.8,97.3,66.8,0.092,9.61,110.9,101.3,-1.74,1,2014
42,Dayton 11,26-11,14.25,113.8,99.6,63.8,0.038,6.25,107.7,101.4,-0.57,3,2014
45,Kansas St. 9,20-13,14.1,107.8,93.7,63.3,0.001,8.17,110.5,102.3,-4.06,0,2014
47,George Washington 9,24-9,13.82,110.8,97,65.3,0.056,5.56,107.3,101.7,-0.08,0,2014
48,Providence 11,23-12,13.81,114.6,100.8,62.9,0.051,8.35,109.2,100.8,0.81,0,2014
49,BYU 10,23-12,13.77,114.5,100.7,70.8,-0.004,6.59,109.6,103,8.43,0,2014
50,Massachusetts 6,24-9,13.46,110,96.5,70.3,0.065,7.33,108,100.6,5.53,0,2014
55,Saint Joseph's 10,24-10,12.93,112.3,99.4,64.3,0.079,6.18,107.5,101.3,0.17,0,2014
56,Nebraska 11,19-13,12.64,108.8,96.1,64.7,0.047,9.3,108.4,99.1,-1.95,0,2014
61,North Dakota St. 12,26-7,11.76,115.5,103.7,62.3,0.089,1.38,106.8,105.4,5.32,1,2014
62,North Carolina St. 12,22-14,11.6,114,102.4,64.7,0.065,7.77,108.4,100.7,-4.31,0,2014
67,Colorado 8,23-12,11.2,107.7,96.5,64.8,0.12,8.74,109.5,100.8,1.71,0,2014
70,Stephen F. Austin 12,32-3,10.83,112.3,101.5,61.2,0.073,-7.12,102,109.2,-4.19,1,2014
72,New Mexico St. 13,26-10,10.54,112.9,102.4,65.2,-0.03,-3.64,103,106.7,2.6,0,2014
74,Manhattan 13,25-8,10.21,107.2,97,67.7,-0.008,-0.2,105.6,105.8,3.46,0,2014
82,Tulsa 13,21-13,8.93,106.1,97.2,66.8,-0.023,0.57,104.9,104.3,2.81,0,2014
87,Mercer 14,27-9,8.34,110.8,102.4,63.6,0.022,-4.44,103.6,108,4.65,1,2014
92,North Carolina Central 14,28-6,7.98,108.6,100.7,62.3,0.04,-10.35,98.1,108.5,-1.94,0,2014
106,Delaware 13,25-10,5.83,112,106.2,70.4,0.064,-0.68,105.2,105.9,2.88,0,2014
113,Louisiana Lafayette 14,23-12,5.19,110.2,105,68.5,0.038,-0.57,105,105.6,4.65,0,2014
120,American 15,20-13,4.57,103.4,98.9,59.7,0.007,-2.59,103.6,106.2,-0.1,0,2014
125,Eastern Kentucky 15,24-10,3.96,112.4,108.4,64.2,0.036,-4.97,104.1,109,-5.04,0,2014
131,Western Michigan 14,23-10,3.36,106.3,103,65.2,0.098,-1.86,103.9,105.7,-3.25,0,2014
168,Milwaukee 15,21-14,0.08,104.7,104.6,65.8,0.119,0.03,104.4,104.4,-2.92,0,2014
172,Weber St. 16,19-12,-0.62,106.4,107,62.9,-0.009,-6.78,103.3,110,6.69,0,2014
176,Cal Poly 16,14-20,-0.82,103.6,104.4,58.8,-0.044,2.38,107.4,105,10.19,0,2014
181,Albany 16,19-15,-1.04,102.9,103.9,61.6,0.002,-5.12,101.5,106.6,0.91,0,2014
192,Wofford 15,20-13,-1.94,100.6,102.6,60.5,0.025,-5.87,103.5,109.3,7.63,0,2014
221,Coastal Carolina 16,21-13,-4.98,98.2,103.2,65.6,0.04,-8.1,102.1,110.2,-4.94,0,2014
1,Louisville 1,35-5,32.92,117.7,84.8,65.8,-0.016,10.23,107.4,97.2,2.15,6,2013
2,Florida 3,29-8,31.18,117.2,86,61.9,-0.089,7,105.6,98.6,4.09,3,2013
3,Indiana 1,29-7,29.31,120.8,91.5,66,-0.021,8.86,106.7,97.8,-5.16,2,2013
4,Michigan 4,31-8,27.86,121.9,94,64,-0.007,11.13,108.2,97,-3.09,5,2013
5,Gonzaga 1,32-3,27.81,120.5,92.7,63.3,0.026,4.37,105.4,101,5.03,1,2013
6,Duke 2,30-6,26.98,119.1,92.1,66.7,0.033,9.95,108.4,98.5,6.85,3,2013
7,Ohio St. 2,29-8,25.42,115.1,89.7,63.6,0.02,10.18,107.3,97.1,-5.53,3,2013
8,Kansas 1,31-6,25.23,112.7,87.5,66.4,0.01,7.05,106.8,99.8,2.64,2,2013
9,Syracuse 4,30-10,24.83,113.1,88.3,63.1,-0.004,9.46,106.8,97.4,-4.44,4,2013
10,Michigan St. 3,27-9,24.17,112.6,88.5,63.1,0.001,11.91,108.8,96.9,-0.75,2,2013
11,Pittsburgh 8,24-9,24.08,115.6,91.5,59.3,-0.058,4.52,104.9,100.4,-9.69,0,2013
12,Wisconsin 5,23-12,22.57,108.3,85.7,60.4,-0.033,11.08,108.8,97.7,-3.2,0,2013
13,Miami FL 2,29-7,22.37,113.6,91.3,61.9,0.028,8.41,107.7,99.3,4.96,2,2013
14,Arizona 6,27-8,21.88,115.4,93.5,65.5,-0.012,7.99,106.4,98.5,1.45,2,2013
15,Creighton 7,28-8,21.75,118.3,96.5,63.8,-0.009,5.73,105.5,99.7,1.63,1,2013
16,Georgetown 2,25-7,21.24,107.6,86.4,61.2,0.038,7.42,106.3,98.9,-6.15,0,2013
17,Wichita St. 9,30-9,20.31,111.8,91.5,63.8,-0.002,6.71,106.9,100.2,0.17,4,2013
18,VCU 5,27-9,20.28,114,93.7,66.4,0.002,5.09,105.8,100.7,-0.22,1,2013
19,Saint Louis 4,28-7,20.01,108.6,88.6,63.8,0,3.91,104.5,100.6,-3.98,1,2013
20,Minnesota 11,21-13,19.85,114.8,95,62.3,-0.036,11.22,108.5,97.3,2.07,1,2013
21,Saint Mary's 11,28-7,19.33,116.1,96.8,62.9,0.023,3.18,104.9,101.7,-0.49,0,2013
22,Colorado St. 8,26-9,19.12,117.9,98.8,63.8,0.02,7.17,105.8,98.6,-0.49,1,2013
23,New Mexico 3,29-6,19.02,109.9,90.9,63.7,0.073,7.98,106.4,98.4,4.42,0,2013
24,Oklahoma St. 5,24-9,18.69,109,90.3,66.1,-0.016,6.38,106.8,100.4,-2.26,0,2013
25,Missouri 9,23-11,18.53,114.9,96.4,66.3,-0.032,5.62,105.1,99.5,-2.02,0,2013
26,Marquette 3,26-9,18.32,113.2,94.9,63.3,0.09,9.28,105.9,96.6,-1.14,3,2013
27,Kansas St. 4,27-8,18.16,113.5,95.3,61.4,0.051,6.82,106.1,99.3,-3.29,0,2013
30,Iowa St. 10,23-12,17.63,117.5,99.8,68.3,-0.046,6.74,105.5,98.7,-3.12,1,2013
31,San Diego St. 7,23-11,17.43,107.7,90.3,65.5,-0.049,7.65,106.6,98.9,1.92,1,2013
32,North Carolina 8,25-11,17.14,112.2,95.1,69.6,0.038,8.57,106.6,98,-0.95,1,2013
33,North Carolina St. 8,24-11,16.99,116.8,99.8,66.8,-0.032,6.54,106.1,99.5,-0.36,0,2013
34,Mississippi 12,27-9,16.95,112.3,95.3,69.2,-0.011,3.19,103.4,100.2,-7.55,1,2013
35,Oregon 12,28-9,16.78,106.6,89.8,67.9,0.052,5.92,105.1,99.2,-8.08,2,2013
36,Notre Dame 7,25-10,16.65,114.6,97.9,60.3,0.046,6.53,105.1,98.6,-6.61,0,2013
37,Memphis 6,31-5,16.33,107.3,91,68.3,0.056,1.9,104.8,102.9,0.43,1,2013
38,UNLV 5,25-10,16.07,106,90,67.9,-0.015,6.23,106.1,99.9,-0.28,0,2013
39,Illinois 7,23-13,15.82,110.6,94.8,64.6,0.042,10.84,108.1,97.3,-0.8,1,2013
40,Cincinnati 10,22-12,15.57,105.9,90.4,63,-0.012,7.31,105.6,98.3,-5.68,0,2013
42,Butler 6,27-9,15.41,110.5,95.1,63.6,0.087,7.53,106.8,99.3,4.18,1,2013
43,Belmont 11,26-7,14.92,111.6,96.6,65.9,0.013,-0.74,103.8,104.6,5.39,0,2013
45,Colorado 10,21-12,14.62,106.5,91.9,63.7,0.029,9.15,107.3,98.1,3.8,0,2013
46,UCLA 6,25-10,14.53,111.1,96.6,68.1,0.068,8.06,105.9,97.9,0.43,0,2013
50,La Salle 13,24-10,13.89,111.8,98,64.6,0.051,5.67,105.8,100.1,-0.5,2,2013
51,Oklahoma 10,20-12,13.8,111.1,97.3,65.2,0.004,7.8,106.4,98.6,2.47,0,2013
53,Villanova 9,20-14,13.57,106.3,92.7,66.4,0.011,9.41,106.5,97.1,0.3,0,2013
56,California 12,21-12,13.11,107.3,94.2,64.9,0.041,8.35,106,97.6,2.12,1,2013
58,Bucknell 11,28-6,12.72,107.3,94.6,61.9,-0.014,-1.72,102.4,104.1,2.78,0,2013
59,Temple 9,24-10,12.67,111.3,98.6,65.6,0.038,5.48,105.7,100.2,0.82,1,2013
62,Akron 12,26-7,11.52,106.8,95.2,65.2,0.085,-0.35,102.4,102.7,0.28,0,2013
65,Valparaiso 14,26-8,11.42,110.7,99.3,64.3,0.021,-1.5,101.5,103,-3.18,0,2013
66,Davidson 14,26-8,11.36,112.1,100.7,63.9,-0.002,-5.09,100.3,105.4,6.42,0,2013
88,New Mexico St. 13,24-11,7.68,104.7,97.1,63.8,0.039,0.36,102.7,102.3,3.94,0,2013
89,Iona 15,20-14,7.45,114.4,106.9,69.7,-0.07,0.94,102.4,101.4,4.09,0,2013
93,Harvard 14,20-10,7.07,108.1,101.1,63.3,0.037,0.6,102.8,102.2,5.07,1,2013
96,South Dakota St. 13,25-10,6.79,112,105.2,62.6,0.03,-3.31,102,105.3,4.11,0,2013
105,Florida Gulf Coast 15,26-11,6.27,104.9,98.6,67.9,0.039,-2.79,101.3,104.1,4.57,2,2013
128,Pacific 15,22-13,3.96,106.1,102.2,62.2,0.074,0.86,104.2,103.3,9.06,0,2013
138,Northwestern St. 14,23-9,2.82,106.6,103.8,71.9,0.075,-3.56,99.6,103.2,8.11,0,2013
145,Montana 13,25-7,2.14,104.9,102.8,62.7,0.175,-5.21,101.8,107,8.71,0,2013
150,Albany 15,24-11,1.36,102.6,101.3,61.7,0.082,-5.19,98.6,103.8,-6.61,0,2013
162,Southern 16,23-10,0.5,99.3,98.8,63.4,-0.031,-11.47,95.2,106.7,4.12,0,2013
173,Western Kentucky 16,20-16,-0.41,101.8,102.2,64.6,0.029,-2.47,100.9,103.3,3.24,0,2013
182,James Madison 16,21-15,-0.92,100.2,101.1,62.9,0.063,-3.42,101.9,105.3,-4.5,0,2013
227,North Carolina A&T 16,20-17,-5.3,93.2,98.5,65.5,0.037,-6.98,97.2,104.2,-1.55,0,2013
1,Kentucky 1,38-2,32.59,122.2,89.6,65.4,0.032,7.99,106.8,98.8,-1.06,6,2012
2,Ohio St. 2,31-8,30.07,118.1,88.1,66.9,-0.05,10.1,108.9,98.8,-3.34,4,2012
3,Michigan St. 1,29-8,27.87,114.7,86.9,64.3,-0.027,10.21,108.6,98.4,-1.07,2,2012
4,Kansas 2,32-7,26.91,114,87.1,66.3,0.027,11.15,108.8,97.6,5.21,5,2012
5,Syracuse 1,34-3,26.04,117.7,91.7,64.4,0.06,7.98,107,99,-2.11,3,2012
6,North Carolina 1,32-6,25.44,116.1,90.7,70.9,0.016,7.41,107.2,99.8,1.89,3,2012
7,Missouri 2,30-5,25.28,125.1,99.8,65.4,0.017,5.8,105.7,99.9,-6.18,0,2012
8,Wisconsin 4,26-10,24.09,113.7,89.6,57.5,-0.018,8.8,107.6,98.8,-3.88,2,2012
9,Indiana 4,27-9,22.55,120.2,97.6,66.7,0.007,8.41,107.4,99,-4.96,2,2012
10,Florida 7,26-11,22.47,120.4,98,64.2,-0.043,7.18,105.4,98.2,-1.67,3,2012
11,Wichita St. 5,27-6,22.36,116.1,93.8,65.7,-0.017,3.97,105.1,101.2,3.5,0,2012
12,Memphis 8,26-9,21.9,114.2,92.3,67.5,-0.064,5.1,104.9,99.8,6.96,0,2012
13,Baylor 3,30-8,21.29,116,94.7,65.6,0.059,9.61,108.1,98.5,-2.7,3,2012
14,Saint Louis 9,26-8,21.2,111.9,90.7,61.9,-0.056,4.36,105,100.6,-2.55,1,2012
15,Georgetown 3,24-9,21.05,111.2,90.1,62.1,-0.014,8.32,107.3,99,-1.04,1,2012
16,Vanderbilt 5,25-11,20.9,115.6,94.7,64.7,-0.048,8.48,107.7,99.2,3.03,1,2012
17,Louisville 4,30-10,20.67,106.2,85.5,66.1,0.031,10.06,108.6,98.6,0.11,4,2012
18,Marquette 3,27-8,20.22,111.5,91.3,70,0.042,8.24,106.6,98.3,-0.95,2,2012
19,Duke 2,27-7,19.7,117.7,98,66.4,0.057,8.18,107.3,99.1,7.68,0,2012
20,New Mexico 5,28-7,19.45,110.8,91.4,65.5,0.003,2.65,103.9,101.3,-4.16,1,2012
21,Gonzaga 7,26-7,18.39,113.1,94.7,64.8,-0.018,2.08,104.9,102.8,1.05,1,2012
22,Michigan 4,24-10,17.52,114.3,96.8,60.1,0.058,10.65,109,98.3,-0.11,0,2012
23,Kansas St. 8,22-11,17.52,109.8,92.3,66.5,-0.024,7.98,107,99.1,-3.29,1,2012
24,Florida St. 3,25-10,17.14,107.6,90.4,66.6,0.034,7.54,106.9,99.4,0.82,1,2012
25,Belmont 14,27-8,16.96,117.1,100.1,67.2,-0.017,-0.32,103.4,103.7,4.69,0,2012
26,Iowa St. 8,23-11,16.69,113.9,97.2,65.8,-0.004,7.22,107,99.8,-4.08,1,2012
27,Alabama 9,21-12,16.69,106.1,89.5,61.9,-0.067,7.07,107.4,100.3,3.98,0,2012
28,Creighton 8,29-6,16.47,119.2,102.7,65.9,0.079,3.79,104.9,101.1,-0.47,1,2012
30,Purdue 10,22-13,16.25,116.2,99.9,64.3,-0.003,8.81,108.4,99.6,-2.64,1,2012
31,Cincinnati 6,26-11,16.03,109.5,93.5,62.9,0.023,6.9,105.7,98.8,-9.17,2,2012
32,Texas 11,20-14,15.9,112.9,97,64.9,-0.065,8.45,107.8,99.4,-1.52,0,2012
33,Virginia 10,22-10,15.85,105.2,89.3,59.3,-0.024,4.05,105,101,-5.7,0,2012
34,Saint Mary's 7,27-6,15.48,114.3,98.8,63.4,0.036,0.17,104.1,103.9,-2.17,0,2012
35,Murray St. 6,31-2,15.34,108.5,93.2,65,0.031,-2.34,102.9,105.2,3.63,1,2012
36,Long Beach St. 12,25-9,15.27,111.7,96.4,66.4,-0.047,1.25,104,102.8,14.84,0,2012
37,UNLV 6,26-9,14.97,109.2,94.2,68.7,0.006,3.54,104.5,100.9,-0.24,0,2012
38,Connecticut 9,20-14,14.53,111.3,96.8,63,-0.032,8.25,107.3,99.1,-0.46,0,2012
39,Temple 5,24-8,14.49,113.3,98.9,65.9,0.055,6.1,106.5,100.4,6.2,0,2012
41,Harvard 12,26-5,14.34,108.8,94.4,60.7,0.027,-0.87,101.4,102.2,0.65,0,2012
42,Notre Dame 7,22-12,14.22,110.9,96.7,60.2,0.032,6.94,106.4,99.4,-4.28,0,2012
43,North Carolina St. 11,24-13,14.22,112.1,97.9,67,-0.004,6.22,105.9,99.7,1.18,2,2012
44,West Virginia 10,19-14,13.56,111.4,97.9,64,-0.019,8.32,107.3,99,2.04,0,2012
46,VCU 12,29-7,13.45,106.9,93.5,65,0.024,0.53,101.9,101.4,1.9,1,2012
48,South Florida 12,22-14,13.13,103.9,90.8,58.5,0.04,8.17,107.2,99,1.27,1,2012
50,BYU 14,26-9,12.79,106.3,93.5,72.6,0.02,1.31,105.1,103.8,0.38,0,2012
53,Xavier 10,23-13,12.59,108.7,96.1,66.4,0.031,7.24,107.4,100.1,4.56,2,2012
57,Ohio 13,29-8,11.88,106.6,94.7,66,0.022,0.8,103.6,102.8,-2.97,2,2012
60,St. Bonaventure 14,20-12,11.78,110.6,98.9,63,-0.024,3.83,104.9,101.1,0.1,0,2012
61,South Dakota St. 14,27-8,11.62,113.7,102.1,64.8,0.03,-1.92,103.2,105.1,2.04,0,2012
65,New Mexico St. 13,26-10,11.22,109.3,98.1,69.4,-0.041,-0.88,103.4,104.3,-0.87,0,2012
66,San Diego St. 6,26-8,11.16,107,95.8,65.8,0.059,3.33,104.8,101.5,-3.76,0,2012
68,Southern Miss 9,25-9,10.83,111.2,100.4,63.8,0.041,4.41,104.7,100.3,2.32,0,2012
71,Davidson 13,25-8,10.65,112,101.4,67.4,0.008,-3,101.5,104.5,8.78,0,2012
79,Lehigh 15,27-8,9.29,108.6,99.3,67.6,-0.026,-5.57,100.3,105.8,-5.17,1,2012
81,Colorado 11,24-12,8.89,104.8,95.9,65.1,0.081,5.35,105.7,100.4,0.06,1,2012
88,Colorado St. 11,20-12,8.17,111.9,103.7,63.6,0.075,4.39,104.7,100.3,0.85,0,2012
104,Montana 13,25-7,6.76,103.7,96.9,64.2,0.064,-5.3,102.5,107.8,-0.72,0,2012
114,UNC Asheville 16,24-10,5.5,110.4,104.9,68.2,-0.001,-4.12,101.8,105.9,7.91,0,2012
115,Detroit 15,22-14,5.48,108.1,102.6,67.1,-0.008,0.35,102.2,101.8,1.14,0,2012
118,Vermont 16,24-12,5.17,105.3,100.1,61.9,-0.024,-5.44,99.1,104.6,-1.55,0,2012
129,Loyola MD 15,24-9,3.91,103.9,100,63.6,0.114,-2.7,101.8,104.5,-0.69,0,2012
162,LIU Brooklyn 16,25-9,0.75,108.7,107.9,73.4,0.117,-5.25,99.8,105,-2.27,0,2012
183,Norfolk St. 15,26-10,-1.82,100.9,102.7,66.6,0.189,-6.31,100.3,106.6,1.39,1,2012
193,Western Kentucky 16,16-19,-2.67,97.8,100.5,67.9,0.083,0,102.3,102.3,2.63,0,2012
1,Ohio St. 1,34-3,33.47,125,91.5,63.8,0.031,8.82,108.9,100,-4.08,2,2011
2,Duke 1,32-5,28.42,119.7,91.3,68.6,0.017,8.43,107.3,98.9,3.48,2,2011
3,Kansas 1,35-3,28.38,118.9,90.6,68.4,0.06,7.75,108.2,100.5,-0.29,3,2011
4,Pittsburgh 1,28-6,27.08,120.6,93.5,61.8,-0.023,8.17,107.6,99.4,-3.68,1,2011
5,Texas 4,28-8,25.93,115.5,89.6,65.5,-0.058,7.61,107.5,99.9,0.6,1,2011
6,Wisconsin 4,25-9,25.84,122.3,96.5,56.9,-0.003,10.81,110,99.2,-3.58,2,2011
7,Kentucky 4,29-9,25.82,117.8,92,65,-0.044,9.81,108.4,98.5,4.46,4,2011
8,San Diego St. 2,34-3,24.98,114.1,89.1,62.3,0.059,7.48,107.6,100.1,4.1,2,2011
9,Purdue 3,26-8,24.79,115.9,91.1,66,0.007,10.16,108.8,98.7,1.21,1,2011
10,Connecticut 3,32-9,23.93,115.8,91.9,64.5,0.048,12.78,110.1,97.4,-0.77,6,2011
11,Notre Dame 2,27-7,23.25,120.9,97.7,63.1,0.074,9.92,108.2,98.3,-3.83,1,2011
12,BYU 3,32-5,23.22,117.5,94.3,70.2,0.055,7.04,106.8,99.8,3.59,2,2011
13,Syracuse 3,27-8,22.49,114.9,92.4,64.6,0.032,9.03,108.3,99.3,-2.31,1,2011
14,Louisville 4,25-10,22.26,111.4,89.2,66.8,-0.037,8.77,108.3,99.5,-5.13,0,2011
15,North Carolina 2,29-8,22.18,111.8,89.6,70.6,0.064,11.14,109.9,98.8,6.01,3,2011
16,Washington 7,24-11,21.69,117.7,96,69.9,-0.099,7.21,106.9,99.7,1.07,1,2011
17,Florida 2,29-8,20.61,115.8,95.2,62.5,0.038,7.73,106.8,99.1,1.55,3,2011
18,Illinois 9,20-14,20.14,113.3,93.1,64.8,-0.074,12.29,110.6,98.3,3.15,1,2011
19,West Virginia 5,21-12,20.11,114.9,94.8,62.5,-0.018,12.7,111,98.3,7.1,1,2011
20,Arizona 5,30-8,19.65,117.4,97.8,65.3,0.064,7.69,107.7,100,-0.36,3,2011
21,Cincinnati 6,26-9,19.41,111.1,91.7,62.6,0.04,6.23,106.8,100.6,-9.35,1,2011
22,Utah St. 12,30-4,19.32,111.2,91.8,62.4,0.033,-0.29,103.8,104.1,-2.4,0,2011
23,Belmont 13,30-5,18.48,112.6,94.1,68.4,-0.006,-4.71,100.5,105.2,-1.05,0,2011
